MODULE_NAME: /bin/dash
MODULE_START: 0x7f29de56c000
+B+: 0x7f29de570000 0x7f29de57000f
+B+: 0x7f29de570012 0x7f29de570016
+B+: 0x7f29de570050 0x7f29de570055
+B+: 0x7f29de570080 0x7f29de570085
+B+: 0x7f29de570090 0x7f29de570095
+B+: 0x7f29de5700a0 0x7f29de5700a5
+B+: 0x7f29de5700d0 0x7f29de5700d5
+B+: 0x7f29de5700f0 0x7f29de5700f5
+B+: 0x7f29de570130 0x7f29de570135
+B+: 0x7f29de570140 0x7f29de570145
+B+: 0x7f29de570150 0x7f29de570155
+B+: 0x7f29de570160 0x7f29de570165
+B+: 0x7f29de570190 0x7f29de570195
+B+: 0x7f29de5701c0 0x7f29de5701c5
+B+: 0x7f29de5701e0 0x7f29de5701e5
+B+: 0x7f29de570220 0x7f29de570225
+B+: 0x7f29de570230 0x7f29de570235
+B+: 0x7f29de570280 0x7f29de570285
+B+: 0x7f29de5702a0 0x7f29de5702a5
+B+: 0x7f29de5702d0 0x7f29de5702d5
+B+: 0x7f29de570320 0x7f29de570325
+B+: 0x7f29de570330 0x7f29de570335
+B+: 0x7f29de570350 0x7f29de570355
+B+: 0x7f29de570370 0x7f29de570375
+B+: 0x7f29de570390 0x7f29de570395
+B+: 0x7f29de5703b0 0x7f29de5703b5
+B+: 0x7f29de5703c0 0x7f29de5703c5
+B+: 0x7f29de5703e0 0x7f29de5703e5
+B+: 0x7f29de570410 0x7f29de570415
+B+: 0x7f29de570460 0x7f29de570465
+B+: 0x7f29de570510 0x7f29de570515
+B+: 0x7f29de570560 0x7f29de570565
+B+: 0x7f29de570570 0x7f29de570575
+B+: 0x7f29de570590 0x7f29de5705b8
+B+: 0x7f29de5705b9 0x7f29de5705c4
+B+: 0x7f29de5705c5 0x7f29de5705cf
+B+: 0x7f29de5705d0 0x7f29de5705e7
+B+: 0x7f29de5705e8 0x7f29de5705ef
+B+: 0x7f29de5705f0 0x7f29de570600
+B+: 0x7f29de570601 0x7f29de57060b
+B+: 0x7f29de57060c 0x7f29de570615
+B+: 0x7f29de570616 0x7f29de570623
