MODULE_NAME: /bin/dash
MODULE_START: 0x7f7848104000
+B+: 0x7f7848108000 0x7f784810800f
+B+: 0x7f7848108012 0x7f7848108016
+B+: 0x7f7848108050 0x7f7848108055
+B+: 0x7f7848108080 0x7f7848108085
+B+: 0x7f7848108090 0x7f7848108095
+B+: 0x7f78481080a0 0x7f78481080a5
+B+: 0x7f78481080d0 0x7f78481080d5
+B+: 0x7f78481080f0 0x7f78481080f5
+B+: 0x7f7848108130 0x7f7848108135
+B+: 0x7f7848108140 0x7f7848108145
+B+: 0x7f7848108150 0x7f7848108155
+B+: 0x7f7848108160 0x7f7848108165
+B+: 0x7f7848108190 0x7f7848108195
+B+: 0x7f78481081c0 0x7f78481081c5
+B+: 0x7f78481081e0 0x7f78481081e5
+B+: 0x7f7848108220 0x7f7848108225
+B+: 0x7f7848108230 0x7f7848108235
+B+: 0x7f7848108280 0x7f7848108285
+B+: 0x7f78481082a0 0x7f78481082a5
+B+: 0x7f78481082d0 0x7f78481082d5
+B+: 0x7f7848108320 0x7f7848108325
+B+: 0x7f7848108330 0x7f7848108335
+B+: 0x7f7848108350 0x7f7848108355
+B+: 0x7f7848108370 0x7f7848108375
+B+: 0x7f7848108390 0x7f7848108395
+B+: 0x7f78481083b0 0x7f78481083b5
+B+: 0x7f78481083c0 0x7f78481083c5
+B+: 0x7f78481083e0 0x7f78481083e5
+B+: 0x7f7848108410 0x7f7848108415
+B+: 0x7f7848108460 0x7f7848108465
+B+: 0x7f7848108510 0x7f7848108515
+B+: 0x7f7848108560 0x7f7848108565
+B+: 0x7f7848108570 0x7f7848108575
+B+: 0x7f7848108590 0x7f78481085b8
+B+: 0x7f78481085b9 0x7f78481085c4
+B+: 0x7f78481085c5 0x7f78481085cf
+B+: 0x7f78481085d0 0x7f78481085e7
+B+: 0x7f78481085e8 0x7f78481085ef
+B+: 0x7f78481085f0 0x7f7848108600
+B+: 0x7f7848108601 0x7f784810860b
+B+: 0x7f784810860c 0x7f7848108615
+B+: 0x7f7848108616 0x7f7848108623
+B+: 0x7f7848108624 0x7f784810862b
+B+: 0x7f784810862c 0x7f784810863c
+B+: 0x7f7848108657 0x7f7848108660
+B+: 0x7f7848108661 0x7f7848108678
+B+: 0x7f7848108679 0x7f784810867f
+B+: 0x7f7848108680 0x7f784810868c
+B+: 0x7f784810868d 0x7f7848108696
+B+: 0x7f7848108697 0x7f784810869b
