MODULE_NAME: /bin/dash
MODULE_START: 0x7f7b20c7b000
+B+: 0x7f7b20c7f000 0x7f7b20c7f00f
+B+: 0x7f7b20c7f012 0x7f7b20c7f016
+B+: 0x7f7b20c7f050 0x7f7b20c7f055
+B+: 0x7f7b20c7f080 0x7f7b20c7f085
+B+: 0x7f7b20c7f090 0x7f7b20c7f095
+B+: 0x7f7b20c7f0a0 0x7f7b20c7f0a5
+B+: 0x7f7b20c7f0d0 0x7f7b20c7f0d5
+B+: 0x7f7b20c7f0f0 0x7f7b20c7f0f5
+B+: 0x7f7b20c7f130 0x7f7b20c7f135
+B+: 0x7f7b20c7f140 0x7f7b20c7f145
+B+: 0x7f7b20c7f150 0x7f7b20c7f155
+B+: 0x7f7b20c7f160 0x7f7b20c7f165
+B+: 0x7f7b20c7f190 0x7f7b20c7f195
+B+: 0x7f7b20c7f1c0 0x7f7b20c7f1c5
+B+: 0x7f7b20c7f1e0 0x7f7b20c7f1e5
+B+: 0x7f7b20c7f220 0x7f7b20c7f225
+B+: 0x7f7b20c7f230 0x7f7b20c7f235
+B+: 0x7f7b20c7f280 0x7f7b20c7f285
+B+: 0x7f7b20c7f2a0 0x7f7b20c7f2a5
+B+: 0x7f7b20c7f2d0 0x7f7b20c7f2d5
+B+: 0x7f7b20c7f320 0x7f7b20c7f325
+B+: 0x7f7b20c7f330 0x7f7b20c7f335
+B+: 0x7f7b20c7f350 0x7f7b20c7f355
+B+: 0x7f7b20c7f370 0x7f7b20c7f375
+B+: 0x7f7b20c7f390 0x7f7b20c7f395
+B+: 0x7f7b20c7f3b0 0x7f7b20c7f3b5
+B+: 0x7f7b20c7f3c0 0x7f7b20c7f3c5
+B+: 0x7f7b20c7f3e0 0x7f7b20c7f3e5
+B+: 0x7f7b20c7f410 0x7f7b20c7f415
+B+: 0x7f7b20c7f460 0x7f7b20c7f465
+B+: 0x7f7b20c7f510 0x7f7b20c7f515
+B+: 0x7f7b20c7f560 0x7f7b20c7f565
+B+: 0x7f7b20c7f570 0x7f7b20c7f575
+B+: 0x7f7b20c7f590 0x7f7b20c7f5b8
+B+: 0x7f7b20c7f5b9 0x7f7b20c7f5c4
+B+: 0x7f7b20c7f5c5 0x7f7b20c7f5cf
+B+: 0x7f7b20c7f5d0 0x7f7b20c7f5e7
+B+: 0x7f7b20c7f5e8 0x7f7b20c7f5ef
+B+: 0x7f7b20c7f5f0 0x7f7b20c7f600
+B+: 0x7f7b20c7f601 0x7f7b20c7f60b
+B+: 0x7f7b20c7f60c 0x7f7b20c7f615
+B+: 0x7f7b20c7f616 0x7f7b20c7f623
+B+: 0x7f7b20c7f624 0x7f7b20c7f62b
+B+: 0x7f7b20c7f62c 0x7f7b20c7f63c
+B+: 0x7f7b20c7f657 0x7f7b20c7f660
+B+: 0x7f7b20c7f661 0x7f7b20c7f678
+B+: 0x7f7b20c7f679 0x7f7b20c7f67f
+B+: 0x7f7b20c7f680 0x7f7b20c7f68c
+B+: 0x7f7b20c7f68d 0x7f7b20c7f696
+B+: 0x7f7b20c7f697 0x7f7b20c7f69b
+B+: 0x7f7b20c7f760 0x7f7b20c7f789
+B+: 0x7f7b20c7f7c0 0x7f7b20c7f7e3
+B+: 0x7f7b20c7f7f8 0x7f7b20c7f7f8
+B+: 0x7f7b20c7f840 0x7f7b20c7f844
+B+: 0x7f7b20c7f850 0x7f7b20c7f863
+B+: 0x7f7b20c7f864 0x7f7b20c7f86f
+B+: 0x7f7b20c7f870 0x7f7b20c7f87d
+B+: 0x7f7b20c7f87e 0x7f7b20c7f8aa
+B+: 0x7f7b20c7f8ab 0x7f7b20c7f8ac
+B+: 0x7f7b20c7f8cb 0x7f7b20c7f8d2
