MODULE_NAME: /bin/dash
MODULE_START: 0x7f7bf47b0000
+B+: 0x7f7bf47b4000 0x7f7bf47b400f
+B+: 0x7f7bf47b4012 0x7f7bf47b4016
+B+: 0x7f7bf47b4050 0x7f7bf47b4055
+B+: 0x7f7bf47b4080 0x7f7bf47b4085
+B+: 0x7f7bf47b4090 0x7f7bf47b4095
+B+: 0x7f7bf47b40a0 0x7f7bf47b40a5
+B+: 0x7f7bf47b40d0 0x7f7bf47b40d5
+B+: 0x7f7bf47b40f0 0x7f7bf47b40f5
+B+: 0x7f7bf47b4130 0x7f7bf47b4135
+B+: 0x7f7bf47b4140 0x7f7bf47b4145
+B+: 0x7f7bf47b4150 0x7f7bf47b4155
+B+: 0x7f7bf47b4160 0x7f7bf47b4165
+B+: 0x7f7bf47b4190 0x7f7bf47b4195
+B+: 0x7f7bf47b41c0 0x7f7bf47b41c5
+B+: 0x7f7bf47b41e0 0x7f7bf47b41e5
+B+: 0x7f7bf47b4220 0x7f7bf47b4225
+B+: 0x7f7bf47b4230 0x7f7bf47b4235
+B+: 0x7f7bf47b4280 0x7f7bf47b4285
+B+: 0x7f7bf47b42a0 0x7f7bf47b42a5
+B+: 0x7f7bf47b42d0 0x7f7bf47b42d5
+B+: 0x7f7bf47b4320 0x7f7bf47b4325
+B+: 0x7f7bf47b4330 0x7f7bf47b4335
+B+: 0x7f7bf47b4350 0x7f7bf47b4355
+B+: 0x7f7bf47b4370 0x7f7bf47b4375
+B+: 0x7f7bf47b4390 0x7f7bf47b4395
+B+: 0x7f7bf47b43b0 0x7f7bf47b43b5
+B+: 0x7f7bf47b43c0 0x7f7bf47b43c5
+B+: 0x7f7bf47b43e0 0x7f7bf47b43e5
+B+: 0x7f7bf47b4410 0x7f7bf47b4415
+B+: 0x7f7bf47b4460 0x7f7bf47b4465
+B+: 0x7f7bf47b4510 0x7f7bf47b4515
+B+: 0x7f7bf47b4560 0x7f7bf47b4565
+B+: 0x7f7bf47b4570 0x7f7bf47b4575
+B+: 0x7f7bf47b4590 0x7f7bf47b45b8
+B+: 0x7f7bf47b45b9 0x7f7bf47b45c4
+B+: 0x7f7bf47b45c5 0x7f7bf47b45cf
+B+: 0x7f7bf47b45d0 0x7f7bf47b45e7
+B+: 0x7f7bf47b45e8 0x7f7bf47b45ef
+B+: 0x7f7bf47b45f0 0x7f7bf47b4600
+B+: 0x7f7bf47b4601 0x7f7bf47b460b
+B+: 0x7f7bf47b460c 0x7f7bf47b4615
+B+: 0x7f7bf47b4616 0x7f7bf47b4623
+B+: 0x7f7bf47b4624 0x7f7bf47b462b
+B+: 0x7f7bf47b462c 0x7f7bf47b463c
+B+: 0x7f7bf47b4657 0x7f7bf47b4660
+B+: 0x7f7bf47b4661 0x7f7bf47b4678
+B+: 0x7f7bf47b4679 0x7f7bf47b467f
