MODULE_NAME: /bin/dash
MODULE_START: 0x7f5bb08d5000
+B+: 0x7f5bb08d9000 0x7f5bb08d900f
+B+: 0x7f5bb08d9012 0x7f5bb08d9016
+B+: 0x7f5bb08d9050 0x7f5bb08d9055
+B+: 0x7f5bb08d9080 0x7f5bb08d9085
+B+: 0x7f5bb08d9090 0x7f5bb08d9095
+B+: 0x7f5bb08d90a0 0x7f5bb08d90a5
+B+: 0x7f5bb08d90d0 0x7f5bb08d90d5
+B+: 0x7f5bb08d90f0 0x7f5bb08d90f5
+B+: 0x7f5bb08d9130 0x7f5bb08d9135
+B+: 0x7f5bb08d9140 0x7f5bb08d9145
+B+: 0x7f5bb08d9150 0x7f5bb08d9155
+B+: 0x7f5bb08d9160 0x7f5bb08d9165
+B+: 0x7f5bb08d9190 0x7f5bb08d9195
+B+: 0x7f5bb08d91c0 0x7f5bb08d91c5
+B+: 0x7f5bb08d91e0 0x7f5bb08d91e5
+B+: 0x7f5bb08d9220 0x7f5bb08d9225
+B+: 0x7f5bb08d9230 0x7f5bb08d9235
+B+: 0x7f5bb08d9280 0x7f5bb08d9285
+B+: 0x7f5bb08d92a0 0x7f5bb08d92a5
+B+: 0x7f5bb08d92d0 0x7f5bb08d92d5
+B+: 0x7f5bb08d9320 0x7f5bb08d9325
+B+: 0x7f5bb08d9330 0x7f5bb08d9335
+B+: 0x7f5bb08d9350 0x7f5bb08d9355
+B+: 0x7f5bb08d9370 0x7f5bb08d9375
+B+: 0x7f5bb08d9390 0x7f5bb08d9395
+B+: 0x7f5bb08d93b0 0x7f5bb08d93b5
+B+: 0x7f5bb08d93c0 0x7f5bb08d93c5
+B+: 0x7f5bb08d93e0 0x7f5bb08d93e5
+B+: 0x7f5bb08d9410 0x7f5bb08d9415
+B+: 0x7f5bb08d9460 0x7f5bb08d9465
+B+: 0x7f5bb08d9510 0x7f5bb08d9515
+B+: 0x7f5bb08d9560 0x7f5bb08d9565
+B+: 0x7f5bb08d9570 0x7f5bb08d9575
+B+: 0x7f5bb08d9590 0x7f5bb08d95b8
+B+: 0x7f5bb08d95b9 0x7f5bb08d95c4
+B+: 0x7f5bb08d95c5 0x7f5bb08d95cf
+B+: 0x7f5bb08d95d0 0x7f5bb08d95e7
+B+: 0x7f5bb08d95e8 0x7f5bb08d95ef
+B+: 0x7f5bb08d95f0 0x7f5bb08d9600
+B+: 0x7f5bb08d9601 0x7f5bb08d960b
